,index,Image_url,Image,Text_Description
11,11,https://images-na.ssl-images-amazon.com/images/I/51LoYG%2BDsLL.jpg|https://images-na.ssl-images-amazon.com/images/I/41iJZfG7RGL.jpg|https://images-na.ssl-images-amazon.com/images/I/51e0Ya7DqhL.jpg|https://images-na.ssl-images-amazon.com/images/I/51-hadIdxSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51oI9%2BDm6BL.jpg|https://images-na.ssl-images-amazon.com/images/I/51yQeWvfOlL.jpg|https://images-na.ssl-images-amazon.com/images/I/51Yrqzea0zL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D270D2D0>,"LEGO Minecraft Creeper BigFig and Ocelot Characters 21156 Buildable Toy Minecraft Figure Gift Set for Play and Decoration, New 2020 (184 Pieces) | Toys & Games | Building Toys | Building Sets | $14.99"
12,12,https://images-na.ssl-images-amazon.com/images/I/51RLMxSin-L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x458 at 0x7BA8D270D930>,C&D Visionary DC Comic Originals Flash Logo Sticker | Toys & Games | Arts & Crafts | Craft Kits | $4.99
13,13,https://images-na.ssl-images-amazon.com/images/I/61EE6qrO2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/41K2cemcS%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/519ghjzl2vL.jpg|https://images-na.ssl-images-amazon.com/images/I/51HrH7ciDYL.jpg|https://images-na.ssl-images-amazon.com/images/I/51dCgcBuqaL.jpg|https://images-na.ssl-images-amazon.com/images/I/71mdBUQPvFL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D270C640>,"The Learning Journey ABC Melody Maker, Primary | Toys & Games | Baby & Toddler Toys | Musical Toys | $34.39"
14,14,https://images-na.ssl-images-amazon.com/images/I/41gxkFaSFfL.jpg|https://images-na.ssl-images-amazon.com/images/I/41kkqglR8UL.jpg|https://images-na.ssl-images-amazon.com/images/I/51DAhW0e2pL.jpg|https://images-na.ssl-images-amazon.com/images/I/3133HWxBz0L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x158 at 0x7BA8D270C700>,"The Complete Common Core: State Standards Kit, Grade 5 | Toys & Games | Learning & Education | Flash Cards | $12.88"
15,15,https://images-na.ssl-images-amazon.com/images/I/31WxfYlS8XL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D270E8F0>,Flash Furniture 25''W x 45''L Trapezoid Red HP Laminate Activity Table - Height Adjustable Short Legs | Home & Kitchen | Furniture | Kids' Furniture | Tables & Chairs | Tables | $117.26
16,16,https://images-na.ssl-images-amazon.com/images/I/51wOrcShPHL.jpg|https://images-na.ssl-images-amazon.com/images/I/41KtrpEc-OL.jpg|https://images-na.ssl-images-amazon.com/images/I/416oOTjDxjL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x449 at 0x7BA8D270D1E0>,Schylling Veterinarian Kit | Toys & Games | Novelty & Gag Toys | Money Banks | $9.39
17,17,https://images-na.ssl-images-amazon.com/images/I/41YYqvdWT5L.jpg|https://images-na.ssl-images-amazon.com/images/I/41DPgMd86%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/51r576EiIoL.jpg|https://images-na.ssl-images-amazon.com/images/I/51gCz94AkML.jpg|https://images-na.ssl-images-amazon.com/images/I/51yYcBhA-CL.jpg|https://images-na.ssl-images-amazon.com/images/I/51QQm1rXLKL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D270D330>,Yellies! Frizz; Voice-Activated Spider Pet; Ages 5 & Up | Toys & Games | Baby & Toddler Toys | Musical Toys | $17.85
18,18,https://images-na.ssl-images-amazon.com/images/I/51oF4e0NvcL.jpg|https://images-na.ssl-images-amazon.com/images/I/41RYGh-7NOL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=278x500 at 0x7BA8D270F8E0>,Disney HK318329 Sofia The First Sleepover Set | Toys & Games | Sports & Outdoor Play | Slumber Bags | $27.50
19,19,https://images-na.ssl-images-amazon.com/images/I/41bHRYbeLgL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7BA8D270C430>,Team Associated 9665 Hinge Pin Brace with Hinge Pins B4/T4 | Toys & Games | Hobbies | Hobby Building Tools & Hardware | RC Linkages | $10.99
20,20,https://images-na.ssl-images-amazon.com/images/I/51qmz2JiIHL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ZItvbSFML.jpg|https://images-na.ssl-images-amazon.com/images/I/41%2BAGovcVHL.jpg|https://images-na.ssl-images-amazon.com/images/I/519pSZe%2BFgL.jpg|https://images-na.ssl-images-amazon.com/images/I/41jEl9-7SdL.jpg|https://images-na.ssl-images-amazon.com/images/I/41hQAb5heyL.jpg|https://images-na.ssl-images-amazon.com/images/I/41DPx6b6fRL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA9E8F245B0>,"PLUS PLUS - Construction Building Toy, Open Play Set - 3,600 Pieces with Storage Tub - Basic Color Mix | Toys & Games | Building Toys | Building Sets | $159.99"
